date,close,adj_close,volume
2020-02-07,74.16000366210938,74.16000366210938,396500
2020-02-10,74.80999755859375,74.80999755859375,424700
2020-02-11,75.02999877929688,75.02999877929688,329100
2020-02-12,74.97000122070312,74.97000122070312,338300
2020-02-13,75.66000366210938,75.66000366210938,324300
2020-02-14,74.22000122070312,74.22000122070312,518400
2020-02-18,73.94000244140625,73.94000244140625,366900
2020-02-19,74.48999786376953,74.48999786376953,187100
2020-02-20,74.30000305175781,74.30000305175781,215300
2020-02-21,74.22000122070312,74.22000122070312,355100
2020-02-24,71.5999984741211,71.5999984741211,559900
2020-02-25,69.37000274658203,69.37000274658203,685900
2020-02-26,67.88999938964844,67.88999938964844,312000
2020-02-27,65.55000305175781,65.55000305175781,331600
2020-02-28,63.75,63.75,989600
2020-03-02,64.86000061035156,64.86000061035156,612600
2020-03-03,63.880001068115234,63.880001068115234,1029100
2020-03-04,63.68000030517578,63.68000030517578,575600
2020-03-05,60.9900016784668,60.9900016784668,850800
2020-03-06,58.939998626708984,58.939998626708984,640500
2020-03-09,48.400001525878906,48.400001525878906,1553300
2020-03-10,47.86000061035156,47.86000061035156,1423900
2020-03-11,45.380001068115234,45.380001068115234,1557900
2020-03-12,39.2599983215332,39.2599983215332,1474600
2020-03-13,44.209999084472656,44.209999084472656,845900
2020-03-16,36.70000076293945,36.70000076293945,731100
2020-03-17,40.72999954223633,40.72999954223633,816900
2020-03-18,34.20000076293945,34.20000076293945,771700
2020-03-19,36.79999923706055,36.79999923706055,562400
2020-03-20,36.529998779296875,36.529998779296875,652800
2020-03-23,38.08000183105469,38.08000183105469,682300
2020-03-24,42.31999969482422,42.31999969482422,822400
2020-03-25,41.31999969482422,41.31999969482422,892800
2020-03-26,43.959999084472656,43.959999084472656,711900
2020-03-27,43.0,43.0,742600
2020-03-30,42.869998931884766,42.869998931884766,559000
2020-03-31,43.470001220703125,43.470001220703125,570000
2020-04-01,40.06999969482422,40.06999969482422,333400
2020-04-02,41.4900016784668,41.4900016784668,1012800
2020-04-03,40.540000915527344,40.540000915527344,644400
2020-04-06,45.41999816894531,45.41999816894531,1321400
2020-04-07,46.540000915527344,46.540000915527344,987400
2020-04-08,48.790000915527344,48.790000915527344,965900
2020-04-09,49.529998779296875,49.529998779296875,658600
2020-04-13,47.630001068115234,47.630001068115234,246100
2020-04-14,49.029998779296875,49.029998779296875,752800
2020-04-15,45.220001220703125,45.220001220703125,424900
2020-04-16,44.81999969482422,44.81999969482422,829500
2020-04-17,46.5,46.5,837800
2020-04-20,46.66999816894531,46.66999816894531,569600
2020-04-21,46.400001525878906,46.400001525878906,747300
2020-04-22,47.70000076293945,47.70000076293945,324300
2020-04-23,49.040000915527344,49.040000915527344,407700
2020-04-24,49.040000915527344,49.040000915527344,314300
2020-04-27,51.0099983215332,51.0099983215332,295100
2020-04-28,52.290000915527344,52.290000915527344,333800
2020-04-29,54.119998931884766,54.119998931884766,487400
2020-04-30,53.41999816894531,53.41999816894531,441100
2020-05-01,49.54999923706055,49.54999923706055,619800
2020-05-04,49.86000061035156,49.86000061035156,716600
2020-05-05,47.779998779296875,47.779998779296875,776400
2020-05-06,48.060001373291016,48.060001373291016,487300
2020-05-07,49.84000015258789,49.84000015258789,797800
2020-05-08,52.220001220703125,52.220001220703125,996900
2020-05-11,51.470001220703125,51.470001220703125,853900
2020-05-12,50.689998626708984,50.689998626708984,737900
2020-05-13,48.459999084472656,48.459999084472656,567300
2020-05-14,48.439998626708984,48.439998626708984,375400
2020-05-15,47.470001220703125,47.470001220703125,475700
2020-05-18,51.79999923706055,51.79999923706055,569900
2020-05-19,49.97999954223633,49.97999954223633,367800
2020-05-20,51.18000030517578,51.18000030517578,606900
2020-05-21,51.02000045776367,51.02000045776367,545800
2020-05-22,49.33000183105469,49.33000183105469,389500
2020-05-26,52.939998626708984,52.939998626708984,552800
2020-05-27,55.220001220703125,55.220001220703125,570500
2020-05-28,53.279998779296875,53.279998779296875,427500
2020-05-29,51.279998779296875,51.279998779296875,427700
2020-06-01,51.29999923706055,51.29999923706055,371300
2020-06-02,53.439998626708984,53.439998626708984,333900
2020-06-03,54.869998931884766,54.869998931884766,642900
2020-06-04,55.47999954223633,55.47999954223633,365200
2020-06-05,60.95000076293945,60.95000076293945,740300
2020-06-08,61.9900016784668,61.9900016784668,615200
2020-06-09,60.52000045776367,60.52000045776367,399400
2020-06-10,57.130001068115234,57.130001068115234,556900
2020-06-11,52.88999938964844,52.88999938964844,361200
2020-06-12,53.88999938964844,53.88999938964844,271600
2020-06-15,54.31999969482422,54.31999969482422,361900
2020-06-16,55.81999969482422,55.81999969482422,398000
2020-06-17,54.75,54.75,412500
2020-06-18,54.5,54.5,218500
2020-06-19,55.060001373291016,55.060001373291016,478100
2020-06-22,54.720001220703125,54.720001220703125,361900
2020-06-23,55.02000045776367,55.02000045776367,342900
2020-06-24,53.18000030517578,53.18000030517578,397800
2020-06-25,53.790000915527344,53.790000915527344,477800
2020-06-26,52.72999954223633,52.72999954223633,901400
2020-06-29,53.47999954223633,53.47999954223633,344200
2020-06-30,53.560001373291016,53.560001373291016,600200
2020-07-01,50.7400016784668,50.7400016784668,487000
2020-07-02,50.4900016784668,50.4900016784668,592300
2020-07-06,51.18000030517578,51.18000030517578,436300
2020-07-07,50.20000076293945,50.20000076293945,355600
2020-07-08,48.77000045776367,48.77000045776367,342500
2020-07-09,47.029998779296875,47.029998779296875,382500
2020-07-10,46.540000915527344,46.540000915527344,755100
2020-07-13,47.38999938964844,47.38999938964844,965900
2020-07-14,46.470001220703125,46.470001220703125,642100
2020-07-15,47.689998626708984,47.689998626708984,1032800
